Date,Block ,Row ,Column ,Light.lvl,Voltage,Amps,Max_PPFD,Notes
11/12/20,4,1,1,1,7.00,0.07,10,
11/12/20,4,1,2,1,7.00,0.07,9,
11/12/20,4,1,3,1,7.00,0.07,9,
11/12/20,4,1,4,1,7.00,0.07,11,
11/12/20,4,1,5,1,7.00,0.07,10,
11/12/20,4,1,6,1,7.00,0.07,13,
11/12/20,4,1,7,1,7.00,0.07,10,
11/12/20,4,1,8,1,7.00,0.07,13,
11/12/20,4,1,9,1,7.00,0.07,9,
11/12/20,4,2,1,2,7.00,0.30,56,
11/12/20,4,2,2,2,7.00,0.30,48,
11/12/20,4,2,3,2,7.00,0.30,44,
11/12/20,4,2,4,2,7.00,0.30,53,
11/12/20,4,2,5,2,7.00,0.30,73,
11/12/20,4,2,6,2,7.00,0.30,59,
11/12/20,4,2,7,2,7.00,0.30,54,
11/12/20,4,2,8,2,7.00,0.30,68,
11/12/20,4,2,9,2,7.00,0.30,77,
11/12/20,4,3,1,3,7.00,0.65,134,
11/12/20,4,3,2,3,7.00,0.65,117,
11/12/20,4,3,3,3,7.00,0.65,167,
11/12/20,4,3,4,3,7.00,0.65,104,
11/12/20,4,3,5,3,7.00,0.65,141,
11/12/20,4,3,6,3,7.00,0.65,120,
11/12/20,4,3,7,3,7.00,0.65,138,
11/12/20,4,3,8,3,7.00,0.65,136,
11/12/20,4,3,9,3,7.00,0.65,158,Added opaque cover
11/12/20,3,1,1,4,7.00,1.50,331,
11/12/20,3,1,2,4,7.00,1.50,346,
11/12/20,3,1,3,4,7.00,1.50,346,
11/12/20,3,1,4,4,7.00,1.50,301,
11/12/20,3,1,5,4,7.00,1.50,323,
11/17/20,3,1,6,4,7.00,1.50,331,Added opaque cover
11/12/20,3,1,7,4,7.00,1.50,379,
11/12/20,3,1,8,4,7.00,1.50,350,
11/12/20,3,1,9,4,7.00,1.50,352,
11/12/20,3,2,1,5,7.00,2.75,517,Added opaque cover
11/12/20,3,2,2,5,7.00,2.75,527,Added opaque cover
11/12/20,3,2,3,5,7.00,2.75,536,Added opaque cover
11/12/20,3,2,4,5,7.00,2.75,524,
11/12/20,3,2,5,5,7.00,2.75,512,
11/12/20,3,2,6,5,7.00,2.75,565,Added opaque cover
11/12/20,3,2,7,5,7.00,2.75,543,
11/12/20,3,2,8,5,7.00,2.75,527,
11/12/20,3,2,9,5,7.00,2.75,534,
11/12/20,3,3,1,6,7.00,5.00,910,
11/12/20,3,3,2,6,7.00,5.00,823,
11/12/20,3,3,3,6,7.00,5.00,836,
11/12/20,3,3,4,6,7.00,5.00,913,
11/12/20,3,3,5,6,7.00,5.00,804,
11/12/20,3,3,6,6,7.00,5.00,798,
11/12/20,3,3,7,6,7.00,5.00,923,
11/17/20,3,3,8,6,7.00,5.00,827,
11/12/20,3,3,9,6,7.00,5.00,797,