Name(s),Date,Time,TGB_number,Heater_set_temp_C,Treatment,Sample_ID,Replicate,Temp
Tamara Layden,2020-12-02,9:38,4,121,1,1,D,15.73
Tamara Layden,2020-12-02,9:39,4,121,1,1,F,15.81
Tamara Layden,2020-12-02,9:41,4,121,1,2,D,15.31
Tamara Layden,2020-12-02,9:41,4,121,1,2,F,15.24
Tamara Layden,2020-12-02,9:45,4,121,1,3,D,15.93
Tamara Layden,2020-12-02,9:45,4,121,1,3,F,15.86
Tamara Layden,2020-12-02,9:47,4,121,2,4,D,18.94
Tamara Layden,2020-12-02,9:49,4,121,2,4,F,19.01
Tamara Layden,2020-12-02,9:54,4,121,2,5,D,19.11
Tamara Layden,2020-12-02,9:55,4,121,2,5,F,19.04
Tamara Layden,2020-12-02,9:58,4,121,2,6,D,18.51
Tamara Layden,2020-12-02,9:58,4,121,2,6,F,18.5
Tamara Layden,2020-12-02,10:01,4,121,3,7,D,22.83
Tamara Layden,2020-12-02,10:02,4,121,3,7,F,22.88
Tamara Layden,2020-12-02,10:03,4,121,3,8,D,23.13
Tamara Layden,2020-12-02,10:05,4,121,3,8,F,23.09
Tamara Layden,2020-12-02,10:06,4,121,3,9,D,23.78
Tamara Layden,2020-12-02,10:07,4,121,3,9,F,23.75
Tamara Layden,2020-12-02,10:08,4,121,4,10,D,26.16
Tamara Layden,2020-12-02,10:09,4,121,4,10,F,26.12
Tamara Layden,2020-12-02,10:11,4,121,4,11,D,27.16
Tamara Layden,2020-12-02,10:13,4,121,4,11,F,27.23
Tamara Layden,2020-12-02,10:14,4,121,4,12,D,26.71
Tamara Layden,2020-12-02,10:15,4,121,4,12,F,26.65
Tamara Layden,2020-12-02,10:17,4,121,5,13,D,29.45
Tamara Layden,2020-12-02,10:19,4,121,5,13,F,29.45
Tamara Layden,2020-12-02,10:23,4,121,5,14,D,30.66
Tamara Layden,2020-12-02,10:26,4,121,5,14,F,30.68
Tamara Layden,2020-12-02,10:28,4,121,5,15,D,30.53
Tamara Layden,2020-12-02,10:29,4,121,5,15,F,30.53
Tamara Layden,2020-12-02,10:31,4,121,6,16,D,32.47
Tamara Layden,2020-12-02,10:34,4,121,6,16,F,32.48
Tamara Layden,2020-12-02,10:35,4,121,6,17,D,33.47
Tamara Layden,2020-12-02,10:37,4,121,6,17,F,33.47
Tamara Layden,2020-12-02,10:38,4,121,6,18,D,33.41
Tamara Layden,2020-12-02,11:24,4,121,6,18,F,33.38
Tamara Layden,2020-12-02,10:43,4,121,7,19,D,35.97
Tamara Layden,2020-12-02,10:45,4,121,7,19,F,35.99
Tamara Layden,2020-12-02,10:47,4,121,7,20,D,37.05
Tamara Layden,2020-12-02,10:49,4,121,7,20,F,37.05
Tamara Layden,2020-12-02,10:50,4,121,7,21,D,37.63
Tamara Layden,2020-12-02,11:21,4,121,7,21,F,37.7
Tamara Layden,2020-12-02,10:55,4,121,8,22,D,40.48
Tamara Layden,2020-12-02,10:57,4,121,8,22,F,40.4
Tamara Layden,2020-12-02,11:00,4,121,8,23,D,40.95
Tamara Layden,2020-12-02,11:01,4,121,8,23,F,40.9
Tamara Layden,2020-12-02,11:04,4,121,8,24,D,40.73
Tamara Layden,2020-12-02,11:11,4,121,8,24,F,40.71
Tamara Layden,2020-12-02,11:12,4,121,9,25,D,44.07
Tamara Layden,2020-12-02,11:14,4,121,9,25,F,44.09
Tamara Layden,2020-12-02,11:16,4,121,9,26,D,43.66
Tamara Layden,2020-12-02,11:18,4,121,9,26,F,43.63
Tamara Layden,2020-12-02,11:19,4,121,9,27,D,44.25
Tamara Layden,2020-12-02,11:20,4,121,9,27,F,44.18
Tamara Layden,2020-12-02,11:29,3,121,1,1,D,17.25
Tamara Layden,2020-12-02,11:30,3,121,1,1,F,17.19
Tamara Layden,2020-12-02,11:31,3,121,1,2,D,17.7
Tamara Layden,2020-12-02,11:32,3,121,1,2,F,17.69
Tamara Layden,2020-12-02,11:33,3,121,1,3,D,17.12
Tamara Layden,2020-12-02,11:53,3,121,1,3,F,16.85
Tamara Layden,2020-12-02,11:56,3,121,2,4,D,19.77
Tamara Layden,2020-12-02,12:00,3,121,2,4,F,19.76
Tamara Layden,2020-12-02,12:01,3,121,2,5,D,19.45
Tamara Layden,2020-12-02,12:02,3,121,2,5,F,19.41
Tamara Layden,2020-12-02,12:04,3,121,2,6,D,20.7
Tamara Layden,2020-12-02,12:05,3,121,2,6,F,20.63
Tamara Layden,2020-12-02,12:07,3,121,3,7,D,22.85
Tamara Layden,2020-12-02,12:07,3,121,3,7,F,22.84
Tamara Layden,2020-12-02,12:08,3,121,3,8,D,23.16
Tamara Layden,2020-12-02,12:08,3,121,3,8,F,23.14
Tamara Layden,2020-12-02,12:11,3,121,3,9,D,24.65
Tamara Layden,2020-12-02,12:12,3,121,3,9,F,24.66
Tamara Layden,2020-12-02,12:13,3,121,4,10,D,26.23
Tamara Layden,2020-12-02,12:14,3,121,4,10,F,26.19
Tamara Layden,2020-12-02,12:15,3,121,4,11,D,27.7
Tamara Layden,2020-12-02,12:16,3,121,4,11,F,27.72
Tamara Layden,2020-12-02,12:17,3,121,4,12,D,27.39
Tamara Layden,2020-12-02,12:17,3,121,4,12,F,27.38
Tamara Layden,2020-12-02,12:21,3,121,5,13,D,29.36
Tamara Layden,2020-12-02,12:24,3,121,5,13,F,29.36
Tamara Layden,2020-12-02,12:25,3,121,5,14,D,30.73
Tamara Layden,2020-12-02,12:25,3,121,5,14,F,30.76
Tamara Layden,2020-12-02,12:28,3,121,5,15,D,30.5
Tamara Layden,2020-12-02,12:28,3,121,5,15,F,30.51
Tamara Layden,2020-12-02,12:31,3,121,6,16,D,32.62
Tamara Layden,2020-12-02,12:33,3,121,6,16,F,32.63
Tamara Layden,2020-12-02,12:35,3,121,6,17,D,32.97
Tamara Layden,2020-12-02,12:36,3,121,6,17,F,32.93
Tamara Layden,2020-12-02,12:38,3,121,6,18,D,33.88
Tamara Layden,2020-12-02,12:39,3,121,6,18,F,33.82
Tamara Layden,2020-12-02,12:41,3,121,7,19,D,35.87
Tamara Layden,2020-12-02,12:41,3,121,7,19,F,35.87
Tamara Layden,2020-12-02,12:43,3,121,7,20,D,37.1
Tamara Layden,2020-12-02,12:44,3,121,7,20,F,37.14
Tamara Layden,2020-12-02,12:45,3,121,7,21,D,36.82
Tamara Layden,2020-12-02,12:45,3,121,7,21,F,36.82
Tamara Layden,2020-12-02,12:48,3,121,8,22,D,38.97
Tamara Layden,2020-12-02,12:48,3,121,8,22,F,38.96
Tamara Layden,2020-12-02,12:49,3,121,8,23,D,39.37
Tamara Layden,2020-12-02,12:50,3,121,8,23,F,39.38
Tamara Layden,2020-12-02,12:51,3,121,8,24,D,40.42
Tamara Layden,2020-12-02,12:51,3,121,8,24,F,40.46
Tamara Layden,2020-12-02,12:52,3,121,9,25,D,42.21
Tamara Layden,2020-12-02,12:53,3,121,9,25,F,42.19
Tamara Layden,2020-12-02,12:53,3,121,9,26,D,43.85
Tamara Layden,2020-12-02,12:54,3,121,9,26,F,43.83
Tamara Layden,2020-12-02,12:56,3,121,9,27,D,43.17
Tamara Layden,2020-12-02,12:56,3,121,9,27,F,43.17