Name,Date,Time,Species,TGB_number,Sample_ID,Replicate,Treatment,Light.lvl,RFU_raw,Notes
Tamara Layden,12/1/20,11:30,C. reinhardtii,4,1,A,1,1,906.07,
Tamara Layden,12/1/20,11:30,C. reinhardtii,4,1,B,1,1,907.72,
Tamara Layden,12/1/20,11:30,C. reinhardtii,4,1,C,1,1,815.03,
Tamara Layden,12/1/20,11:30,C. reinhardtii,4,4,A,2,1,759.38,
Tamara Layden,12/1/20,11:30,C. reinhardtii,4,4,B,2,1,826.5,
Tamara Layden,12/1/20,11:30,C. reinhardtii,4,4,C,2,1,881.45,
Tamara Layden,12/1/20,11:31,C. reinhardtii,4,7,A,3,1,657.43,
Tamara Layden,12/1/20,11:31,C. reinhardtii,4,7,B,3,1,678.45,
Tamara Layden,12/1/20,11:31,C. reinhardtii,4,7,C,3,1,680.17,
Tamara Layden,12/1/20,11:31,C. reinhardtii,4,10,A,4,1,602.62,
Tamara Layden,12/1/20,11:31,C. reinhardtii,4,10,B,4,1,549.95,
Tamara Layden,12/1/20,11:31,C. reinhardtii,4,10,C,4,1,543.96,
Tamara Layden,12/1/20,11:32,C. reinhardtii,4,13,A,5,1,709.71,
Tamara Layden,12/1/20,11:33,C. reinhardtii,4,13,B,5,1,775.2,
Tamara Layden,12/1/20,11:33,C. reinhardtii,4,13,C,5,1,698.36,
Tamara Layden,12/1/20,11:33,C. reinhardtii,4,16,A,6,1,674.71,
Tamara Layden,12/1/20,11:33,C. reinhardtii,4,16,B,6,1,531.26,
Tamara Layden,12/1/20,11:33,C. reinhardtii,4,16,C,6,1,723.86,
Tamara Layden,12/1/20,11:34,C. reinhardtii,4,19,A,7,1,550.26,
Tamara Layden,12/1/20,11:34,C. reinhardtii,4,19,B,7,1,741.01,
Tamara Layden,12/1/20,11:34,C. reinhardtii,4,19,C,7,1,710.6,
Tamara Layden,12/1/20,11:34,C. reinhardtii,4,22,A,8,1,1201.25,
Tamara Layden,12/1/20,11:34,C. reinhardtii,4,22,B,8,1,886.55,
Tamara Layden,12/1/20,11:34,C. reinhardtii,4,22,C,8,1,875.46,
Tamara Layden,12/1/20,11:35,C. reinhardtii,4,25,A,9,1,713.11,
Tamara Layden,12/1/20,11:35,C. reinhardtii,4,25,B,9,1,1105.09,
Tamara Layden,12/1/20,11:35,C. reinhardtii,4,25,C,9,1,759.57,
Tamara Layden,12/1/20,11:35,C. reinhardtii,4,2,A,1,2,628.37,
Tamara Layden,12/1/20,11:35,C. reinhardtii,4,2,B,1,2,725.79,
Tamara Layden,12/1/20,11:36,C. reinhardtii,4,2,C,1,2,743.45,
Tamara Layden,12/1/20,11:36,C. reinhardtii,4,5,A,2,2,787.46,
Tamara Layden,12/1/20,11:36,C. reinhardtii,4,5,B,2,2,784.81,
Tamara Layden,12/1/20,11:36,C. reinhardtii,4,5,C,2,2,772.99,
Tamara Layden,12/1/20,11:36,C. reinhardtii,4,8,A,3,2,717.81,
Tamara Layden,12/1/20,11:36,C. reinhardtii,4,8,B,3,2,733.31,
Tamara Layden,12/1/20,11:37,C. reinhardtii,4,8,C,3,2,673.27,
Tamara Layden,12/1/20,11:37,C. reinhardtii,4,11,A,4,2,872.03,
Tamara Layden,12/1/20,11:37,C. reinhardtii,4,11,B,4,2,863.19,
Tamara Layden,12/1/20,11:37,C. reinhardtii,4,11,C,4,2,818.16,
Tamara Layden,12/1/20,11:37,C. reinhardtii,4,14,A,5,2,843.13,
Tamara Layden,12/1/20,11:38,C. reinhardtii,4,14,B,5,2,759.64,
Tamara Layden,12/1/20,11:38,C. reinhardtii,4,14,C,5,2,841.2,
Tamara Layden,12/1/20,11:38,C. reinhardtii,4,17,A,6,2,2372.86,
Tamara Layden,12/1/20,11:39,C. reinhardtii,4,17,B,6,2,717.79,
Tamara Layden,12/1/20,11:39,C. reinhardtii,4,17,C,6,2,905.87,
Tamara Layden,12/1/20,11:39,C. reinhardtii,4,20,A,7,2,484.48,
Tamara Layden,12/1/20,11:39,C. reinhardtii,4,20,B,7,2,806.72,
Tamara Layden,12/1/20,11:39,C. reinhardtii,4,20,C,7,2,949.86,
Tamara Layden,12/1/20,11:39,C. reinhardtii,4,23,A,8,2,1160.62,
Tamara Layden,12/1/20,11:40,C. reinhardtii,4,23,B,8,2,1210.56,
Tamara Layden,12/1/20,11:40,C. reinhardtii,4,23,C,8,2,1109.65,
Tamara Layden,12/1/20,11:40,C. reinhardtii,4,26,A,9,2,936.07,
Tamara Layden,12/1/20,11:40,C. reinhardtii,4,26,B,9,2,1354.99,
Tamara Layden,12/1/20,11:40,C. reinhardtii,4,26,C,9,2,1015.79,
Tamara Layden,12/1/20,11:41,C. reinhardtii,4,3,A,1,3,736.95,
Tamara Layden,12/1/20,11:41,C. reinhardtii,4,3,B,1,3,665.61,
Tamara Layden,12/1/20,11:41,C. reinhardtii,4,3,C,1,3,690.06,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,6,A,2,3,592.52,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,6,B,2,3,582.1,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,6,C,2,3,564.49,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,9,A,3,3,868.64,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,9,B,3,3,843.42,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,9,C,3,3,864.98,
Tamara Layden,12/1/20,11:42,C. reinhardtii,4,12,A,4,3,731.29,
Tamara Layden,12/1/20,11:43,C. reinhardtii,4,12,B,4,3,844.58,
Tamara Layden,12/1/20,11:43,C. reinhardtii,4,12,C,4,3,740.84,
Tamara Layden,12/1/20,11:43,C. reinhardtii,4,15,A,5,3,724.78,
Tamara Layden,12/1/20,11:43,C. reinhardtii,4,15,B,5,3,764.25,
Tamara Layden,12/1/20,11:43,C. reinhardtii,4,15,C,5,3,701.28,
Tamara Layden,12/1/20,11:43,C. reinhardtii,4,18,A,6,3,1227.16,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,18,B,6,3,1124.73,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,18,C,6,3,1331.6,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,21,A,7,3,1270.96,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,21,B,7,3,1935.45,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,21,C,7,3,1205.1,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,24,A,8,3,530.68,
Tamara Layden,12/1/20,11:44,C. reinhardtii,4,24,B,8,3,551.81,
Tamara Layden,12/1/20,11:45,C. reinhardtii,4,24,C,8,3,757.13,
Tamara Layden,12/1/20,11:45,C. reinhardtii,4,27,A,9,3,881.48,
Tamara Layden,12/1/20,11:45,C. reinhardtii,4,27,B,9,3,1900.23,
Tamara Layden,12/1/20,11:45,C. reinhardtii,4,27,C,9,3,1159.46,
Tamara Layden,12/1/20,11:45,C. reinhardtii,3,1,A,1,4,554.78,
Tamara Layden,12/1/20,11:45,C. reinhardtii,3,1,B,1,4,536.58,
Tamara Layden,12/1/20,11:45,C. reinhardtii,3,1,C,1,4,481.17,
Tamara Layden,12/1/20,11:46,C. reinhardtii,3,4,A,2,4,634.81,
Tamara Layden,12/1/20,11:46,C. reinhardtii,3,4,B,2,4,651.12,
Tamara Layden,12/1/20,11:46,C. reinhardtii,3,4,C,2,4,652.13,
Tamara Layden,12/1/20,11:46,C. reinhardtii,3,7,A,3,4,588.16,
Tamara Layden,12/1/20,11:46,C. reinhardtii,3,7,B,3,4,603.9,
Tamara Layden,12/1/20,11:46,C. reinhardtii,3,7,C,3,4,588.51,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,10,A,4,4,635.45,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,10,B,4,4,568.41,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,10,C,4,4,622.29,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,13,A,5,4,728.25,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,13,B,5,4,668.27,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,13,C,5,4,625.24,
Tamara Layden,12/1/20,11:47,C. reinhardtii,3,16,A,6,4,398.58,
Tamara Layden,12/1/20,11:48,C. reinhardtii,3,16,B,6,4,465.93,
Tamara Layden,12/1/20,11:48,C. reinhardtii,3,16,C,6,4,400.53,
Tamara Layden,12/1/20,11:48,C. reinhardtii,3,19,A,7,4,626.36,
Tamara Layden,12/1/20,11:48,C. reinhardtii,3,19,B,7,4,521.54,
Tamara Layden,12/1/20,11:48,C. reinhardtii,3,19,C,7,4,358.93,
Tamara Layden,12/1/20,11:49,C. reinhardtii,3,22,A,8,4,499.01,
Tamara Layden,12/1/20,11:49,C. reinhardtii,3,22,B,8,4,700.37,
Tamara Layden,12/1/20,11:49,C. reinhardtii,3,22,C,8,4,1631.89,
Tamara Layden,12/1/20,11:49,C. reinhardtii,3,25,A,9,4,1634.98,
Tamara Layden,12/1/20,11:49,C. reinhardtii,3,25,B,9,4,388.56,
Tamara Layden,12/1/20,11:49,C. reinhardtii,3,25,C,9,4,787.23,
Tamara Layden,12/1/20,11:50,C. reinhardtii,3,2,A,1,5,1097.52,
Tamara Layden,12/1/20,11:50,C. reinhardtii,3,2,B,1,5,1078.19,
Tamara Layden,12/1/20,11:50,C. reinhardtii,3,2,C,1,5,1067.37,
Tamara Layden,12/1/20,11:50,C. reinhardtii,3,5,A,2,5,747.36,
Tamara Layden,12/1/20,11:50,C. reinhardtii,3,5,B,2,5,705.5,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,5,C,2,5,704.56,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,8,A,3,5,578.11,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,8,B,3,5,555.54,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,8,C,3,5,638.06,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,11,A,4,5,543.52,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,11,B,4,5,445.68,
Tamara Layden,12/1/20,11:51,C. reinhardtii,3,11,C,4,5,884.5,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,14,A,5,5,494.64,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,14,B,5,5,495.94,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,14,C,5,5,819.89,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,17,A,6,5,471.33,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,17,B,6,5,726.89,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,17,C,6,5,650.72,
Tamara Layden,12/1/20,11:52,C. reinhardtii,3,20,A,7,5,351.91,
Tamara Layden,12/1/20,11:53,C. reinhardtii,3,20,B,7,5,375.55,
Tamara Layden,12/1/20,11:53,C. reinhardtii,3,20,C,7,5,1118.04,
Tamara Layden,12/1/20,11:53,C. reinhardtii,3,23,A,8,5,1326.3,
Tamara Layden,12/1/20,11:53,C. reinhardtii,3,23,B,8,5,1363.11,
Tamara Layden,12/1/20,11:53,C. reinhardtii,3,23,C,8,5,711.49,
Tamara Layden,12/1/20,11:53,C. reinhardtii,3,26,A,9,5,1012.57,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,26,B,9,5,1033.56,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,26,C,9,5,709.73,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,3,A,1,6,793.04,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,3,B,1,6,792.31,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,3,C,1,6,1079.96,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,6,A,2,6,677.11,
Tamara Layden,12/1/20,11:54,C. reinhardtii,3,6,B,2,6,660.69,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,6,C,2,6,924.05,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,9,A,3,6,839.72,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,9,B,3,6,678.84,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,9,C,3,6,786.26,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,12,A,4,6,925.15,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,12,B,4,6,775.81,
Tamara Layden,12/1/20,11:55,C. reinhardtii,3,12,C,4,6,816.02,
Tamara Layden,12/1/20,11:56,C. reinhardtii,3,15,A,5,6,947.31,
Tamara Layden,12/1/20,11:56,C. reinhardtii,3,15,B,5,6,1123.59,
Tamara Layden,12/1/20,11:56,C. reinhardtii,3,15,C,5,6,1169.65,
Tamara Layden,12/1/20,11:56,C. reinhardtii,3,18,A,6,6,492.32,
Tamara Layden,12/1/20,11:56,C. reinhardtii,3,18,B,6,6,643.67,
Tamara Layden,12/1/20,11:56,C. reinhardtii,3,18,C,6,6,876.54,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,21,A,7,6,1206.47,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,21,B,7,6,562.85,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,21,C,7,6,418.25,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,24,A,8,6,501.78,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,24,B,8,6,355.22,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,24,C,8,6,357.08,
Tamara Layden,12/1/20,11:57,C. reinhardtii,3,27,A,9,6,913.27,
Tamara Layden,12/1/20,11:58,C. reinhardtii,3,27,B,9,6,801.45,
Tamara Layden,12/1/20,11:58,C. reinhardtii,3,27,C,9,6,561.01,
Tamara Layden,12/2/20,8:13,C. reinhardtii,4,1,A,1,1,972.58,
Tamara Layden,12/2/20,8:13,C. reinhardtii,4,1,B,1,1,961.86,
Tamara Layden,12/2/20,8:13,C. reinhardtii,4,1,C,1,1,1133.58,
Tamara Layden,12/2/20,8:14,C. reinhardtii,4,4,A,2,1,1176.12,
Tamara Layden,12/2/20,8:14,C. reinhardtii,4,4,B,2,1,1109.57,
Tamara Layden,12/2/20,8:14,C. reinhardtii,4,4,C,2,1,1002.5,
Tamara Layden,12/2/20,8:14,C. reinhardtii,4,7,A,3,1,1046.33,
Tamara Layden,12/2/20,8:14,C. reinhardtii,4,7,B,3,1,996.69,
Tamara Layden,12/2/20,8:14,C. reinhardtii,4,7,C,3,1,588.12,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,10,A,4,1,1012.91,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,10,B,4,1,940.19,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,10,C,4,1,1010.67,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,13,A,5,1,1248.5,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,13,B,5,1,1044.7,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,13,C,5,1,1206.12,
Tamara Layden,12/2/20,8:15,C. reinhardtii,4,16,A,6,1,1099.48,
Tamara Layden,12/2/20,8:16,C. reinhardtii,4,16,B,6,1,1625,
Tamara Layden,12/2/20,8:16,C. reinhardtii,4,16,C,6,1,1663.83,
Tamara Layden,12/2/20,8:16,C. reinhardtii,4,19,A,7,1,809.09,
Tamara Layden,12/2/20,8:16,C. reinhardtii,4,19,B,7,1,1416.01,
Tamara Layden,12/2/20,8:16,C. reinhardtii,4,19,C,7,1,1001.94,
Tamara Layden,12/2/20,8:16,C. reinhardtii,4,22,A,8,1,1311.37,
Tamara Layden,12/2/20,8:17,C. reinhardtii,4,22,B,8,1,1148.66,
Tamara Layden,12/2/20,8:17,C. reinhardtii,4,22,C,8,1,1194.46,
Tamara Layden,12/2/20,8:17,C. reinhardtii,4,25,A,9,1,58.48,
Tamara Layden,12/2/20,8:17,C. reinhardtii,4,25,B,9,1,68.38,
Tamara Layden,12/2/20,8:17,C. reinhardtii,4,25,C,9,1,54.33,
Tamara Layden,12/2/20,8:23,C. reinhardtii,4,2,A,1,2,987.86,
Tamara Layden,12/2/20,8:23,C. reinhardtii,4,2,B,1,2,948.74,
Tamara Layden,12/2/20,8:23,C. reinhardtii,4,2,C,1,2,874.99,
Tamara Layden,12/2/20,8:23,C. reinhardtii,4,5,A,2,2,1268.01,
Tamara Layden,12/2/20,8:23,C. reinhardtii,4,5,B,2,2,1404.99,
Tamara Layden,12/2/20,8:24,C. reinhardtii,4,5,C,2,2,1281.2,
Tamara Layden,12/2/20,8:24,C. reinhardtii,4,8,A,3,2,1361.67,
Tamara Layden,12/2/20,8:24,C. reinhardtii,4,8,B,3,2,1197.7,
Tamara Layden,12/2/20,8:24,C. reinhardtii,4,8,C,3,2,1388.79,
Tamara Layden,12/2/20,8:24,C. reinhardtii,4,11,A,4,2,2230.91,
Tamara Layden,12/2/20,8:24,C. reinhardtii,4,11,B,4,2,2102.15,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,11,C,4,2,2048.21,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,14,A,5,2,3670.71,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,14,B,5,2,2425.5,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,14,C,5,2,3535.09,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,17,A,6,2,5871.63,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,17,B,6,2,3306.79,
Tamara Layden,12/2/20,8:25,C. reinhardtii,4,17,C,6,2,5194.3,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,20,A,7,2,982.45,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,20,B,7,2,1781.55,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,20,C,7,2,2325.6,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,23,A,8,2,1322.39,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,23,B,8,2,1456.29,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,23,C,8,2,2038.38,
Tamara Layden,12/2/20,8:26,C. reinhardtii,4,26,A,9,2,55.66,
Tamara Layden,12/2/20,8:27,C. reinhardtii,4,26,B,9,2,44.69,
Tamara Layden,12/2/20,8:27,C. reinhardtii,4,26,C,9,2,47.47,
