Site,Species,Density
LC,Acanthinucella,0.121175407
LC,Mexacanthina,0
LC,Nucella,0.057971014
LC,Other,0.073343069
CC,Acanthinucella,0.561810186
CC,Mexacanthina,0
CC,Nucella,0.261272951
CC,Other,0.013196403
SH,Acanthinucella,0.215343625
SH,Mexacanthina,0
SH,Nucella,0.158726715
SH,Other,0.016024354
HP,Acanthinucella,0.018519511
HP,Mexacanthina,0.045016787
HP,Nucella,0.022973121
HP,Other,0.109328713
TI,Acanthinucella,0.107386607
TI,Mexacanthina,0.823423577
TI,Nucella,0.055916306
TI,Other,0.003156566
TS,Acanthinucella,0.114743953
TS,Mexacanthina,4.272586626
TS,Nucella,0.010499339
TS,Other,0.013013013
DP,Acanthinucella,0.207614447
DP,Mexacanthina,0
DP,Nucella,0.126604443
DP,Other,0.104857904
CR,Acanthinucella,0.479288552
CR,Mexacanthina,1.257363323
CR,Nucella,0.036700337
CR,Other,0.033333333
SC,Acanthinucella,0.216980131
SC,Mexacanthina,1.393718857
SC,Nucella,0.17642495
SC,Other,0
SR,Acanthinucella,0.189973819
SR,Mexacanthina,1.015054027
SR,Nucella,0.006157635
SR,Other,0.013436752